InfomationStyle=1
(Description:1--Origin Path;2--Effective Centre Line;3--Effective Contours Line;4--Tape Centre Line;5--TreeInfo)
MeshDATAFile=E:\huangwei\SoftwareCheck202111\NewModelTest20220513\20jqd_r18_202220612_DATA\Plies Group.1_STLMeshData.stl
Placement Parameter Output:
Width=6.35 mm	Gap=0.200 mm	TapNums=8 
NormalTag=0
Model Information Output:
ModelName=Plies Group.1\Sequence.2\Ply.2
PointNum=6739 	EdgeNum=19897 	FacetNum=13158 
AngelStart=45 deg
TotalNum=70
Output Start
tiaoshu=1	dianshu=199
x=1163.820787	y=456.990454	z=336.289997	Nx=0.223584	Ny=0.397284	Nz=0.890043	FaceNum=10273
x=1183.317962	y=460.966542	z=329.588297	Nx=0.217558	Ny=0.436915	Nz=0.872796	FaceNum=10136
x=1210.440449	y=466.338833	z=319.891985	Nx=0.209088	Ny=0.483948	Nz=0.849751	FaceNum=10135
x=1222.543671	y=468.738707	z=315.570449	Nx=0.204712	Ny=0.506523	Nz=0.837572	FaceNum=10134
x=1230.740340	y=470.363019	z=312.641738	Nx=0.200844	Ny=0.523631	Nz=0.827933	FaceNum=10094
x=1252.733768	y=474.522235	z=304.419036	Nx=0.190973	Ny=0.568032	Nz=0.800543	FaceNum=10093
x=1279.892027	y=479.657563	z=294.264374	Nx=0.176198	Ny=0.623605	Nz=0.761624	FaceNum=10053
x=1281.558428	y=479.953301	z=293.614165	Nx=0.175359	Ny=0.626754	Nz=0.759229	FaceNum=10052
x=1284.065915	y=480.398519	z=292.636017	Nx=0.173866	Ny=0.632063	Nz=0.755160	FaceNum=10051
x=1311.419371	y=485.285559	z=282.003270	Nx=0.159915	Ny=0.680097	Nz=0.715468	FaceNum=10050
x=1327.192914	y=488.107544	z=275.876557	Nx=0.149892	Ny=0.709796	Nz=0.688275	FaceNum=10011
x=1339.926154	y=490.213414	z=270.743018	Nx=0.142529	Ny=0.731744	Nz=0.666510	FaceNum=10010
x=1361.070344	y=493.716576	z=262.224523	Nx=0.127549	Ny=0.771015	Nz=0.623913	FaceNum=10009
x=1366.835524	y=494.682872	z=259.912576	Nx=0.123698	Ny=0.780561	Nz=0.612718	FaceNum=10008
x=1370.621891	y=495.319278	z=258.395877	Nx=0.120753	Ny=0.787490	Nz=0.604383	FaceNum=9774
x=1392.042635	y=498.586490	z=249.532872	Nx=0.105273	Ny=0.823292	Nz=0.557770	FaceNum=9775
x=1411.150362	y=501.508314	z=241.632411	Nx=0.088936	Ny=0.856245	Nz=0.508856	FaceNum=9973
x=1415.976821	y=502.159879	z=239.580799	Nx=0.084286	Ny=0.865513	Nz=0.493744	FaceNum=9972
x=1423.521395	y=503.179775	z=236.374551	Nx=0.077156	Ny=0.878783	Nz=0.470943	FaceNum=9971
x=1439.769460	y=505.432236	z=229.500800	Nx=0.061921	Ny=0.904711	Nz=0.421502	FaceNum=9970
x=1448.453481	y=506.637719	z=225.827922	Nx=0.050946	Ny=0.920837	Nz=0.386604	FaceNum=10305
x=1466.859853	y=508.812171	z=217.864339	Nx=0.040077	Ny=0.934272	Nz=0.354301	FaceNum=10304
x=1482.768840	y=510.746191	z=211.002724	Nx=0.029886	Ny=0.946814	Nz=0.320389	FaceNum=12203
x=1511.604568	y=513.900237	z=198.440517	Nx=0.023691	Ny=0.952273	Nz=0.304328	FaceNum=12204
x=1512.590657	y=514.010800	z=198.011779	Nx=0.023610	Ny=0.951441	Nz=0.306923	FaceNum=12224
x=1550.535824	y=518.286632	z=181.520924	Nx=0.017967	Ny=0.955488	Nz=0.294484	FaceNum=12225
x=1559.707508	y=519.325434	z=177.536587	Nx=0.016775	Ny=0.956332	Nz=0.291800	FaceNum=12226
x=1561.830848	y=519.571551	z=176.615907	Nx=0.016408	Ny=0.956549	Nz=0.291110	FaceNum=12227
x=1562.007585	y=519.592301	z=176.539355	Nx=0.016092	Ny=0.956908	Nz=0.289947	FaceNum=12228
x=1568.901889	y=520.391283	z=173.550229	Nx=0.015128	Ny=0.957413	Nz=0.288326	FaceNum=189
x=1603.312290	y=524.368106	z=158.627702	Nx=0.011745	Ny=0.958603	Nz=0.284503	FaceNum=190
x=1620.513248	y=526.349592	z=151.166301	Nx=0.010179	Ny=0.959306	Nz=0.282186	FaceNum=191
x=1637.783613	y=528.406626	z=143.695238	Nx=0.009009	Ny=0.959988	Nz=0.279896	FaceNum=192
