InfomationStyle=1
(Description:1--Origin Path;2--Effective Centre Line;3--Effective Contours Line;4--Tape Centre Line;5--TreeInfo)
Placement Parameter Output:
Width=6.35 mm	Gap=0.200 mm	TapNums=8 
NormalTag=0
Model Information Output:
PointNum=6729 	EdgeNum=19867 	FacetNum=13138 
AngelStart=0 deg
TotalNum=2
Output Start
tiaoshu=1	dianshu=51
x=1183.889717	y=518.266226	z=222.524796	Nx=0.047898	Ny=0.955297	Nz=0.291741	FaceNum=12403
x=1198.744058	y=518.618459	z=219.013142	Nx=0.046550	Ny=0.955552	Nz=0.291125	FaceNum=13136
x=1208.469702	y=518.850461	z=216.714368	Nx=0.045065	Ny=0.955612	Nz=0.291161	FaceNum=13136
x=1259.405976	y=520.203964	z=204.718736	Nx=0.041613	Ny=0.955912	Nz=0.290689	FaceNum=13116
x=1324.314101	y=522.524497	z=188.292911	Nx=0.035456	Ny=0.957317	Nz=0.286857	FaceNum=13114
x=1361.308274	y=524.032758	z=178.840817	Nx=0.031481	Ny=0.958607	Nz=0.282985	FaceNum=13038
x=1412.272314	y=526.297778	z=165.733953	Nx=0.027165	Ny=0.959666	Nz=0.279826	FaceNum=13040
x=1463.248980	y=528.707545	z=152.757013	Nx=0.023172	Ny=0.960689	Nz=0.276659	FaceNum=13042
x=1514.230112	y=531.292122	z=139.897532	Nx=0.019145	Ny=0.961412	Nz=0.274447	FaceNum=13111
x=1565.218973	y=534.010159	z=127.114411	Nx=0.013497	Ny=0.962765	Nz=0.270003	FaceNum=13026
x=1616.214122	y=536.853813	z=114.652899	Nx=0.009336	Ny=0.964126	Nz=0.265280	FaceNum=13021
x=1667.211921	y=539.722245	z=102.709750	Nx=0.005269	Ny=0.965407	Nz=0.260693	FaceNum=13022
x=1718.211603	y=542.630996	z=91.351149	Nx=0.001462	Ny=0.966168	Nz=0.257909	FaceNum=13023
x=1769.211380	y=545.595195	z=80.388709	Nx=-0.002539	Ny=0.967732	Nz=0.251970	FaceNum=13108
x=1871.208495	y=551.650122	z=59.675403	Nx=-0.010976	Ny=0.970493	Nz=0.240881	FaceNum=13015
x=1922.204243	y=554.700041	z=50.117589	Nx=-0.015017	Ny=0.970528	Nz=0.240519	FaceNum=13094
x=1973.195853	y=557.690975	z=41.273795	Nx=-0.018538	Ny=0.971975	Nz=0.234352	FaceNum=13091
x=2024.182424	y=560.588169	z=33.310421	Nx=-0.021707	Ny=0.973548	Nz=0.227449	FaceNum=13087
x=2075.161872	y=563.334998	z=26.443849	Nx=-0.024424	Ny=0.975254	Nz=0.219736	FaceNum=13009
x=2126.133908	y=565.881750	z=20.854748	Nx=-0.026701	Ny=0.977048	Nz=0.211340	FaceNum=13005
x=2177.098050	y=568.211805	z=16.662945	Nx=-0.028802	Ny=0.978421	Nz=0.204606	FaceNum=13001
x=2228.056459	y=570.287407	z=13.870431	Nx=-0.029730	Ny=0.980367	Nz=0.194929	FaceNum=12998
